类型,谱例编号,图片路径,章节,分组,小节,图注
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1177610720_figure_largeshow.jpg,第一章 循环与网格图,1-1 音的循环,音程,图1.6 八度内的音程对照表
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1177933008_figure_large.jpg,第一章 循环与网格图,1-1 音的循环,半音阶循环,图1.5 钢琴键盘、五线谱（左边）与吉他指板的音名
谱例,8.21,E:\Documents\DeepSeeK\harmony-trainer\images\1177973987_figure_large.jpg,第八章 和弦变换,8-2 三和弦的变换（下）,增三和弦的游移,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1177974296_figure_large.jpg,第八章 和弦变换,8-2 三和弦的变换（下）,增三和弦的游移,图8.19 增三和弦与大、小三和弦的关系
谱例,8.19,E:\Documents\DeepSeeK\harmony-trainer\images\1187611636_figure_largeshow.jpg,第八章 和弦变换,8-2 三和弦的变换（下）,半音滑动,
谱例,6.2,E:\Documents\DeepSeeK\harmony-trainer\images\1189244033_figure_largeshow.jpg,第六章 排列与连接,6-1 谐音列与音程,谐音列与音程,
谱例,2.3,E:\Documents\DeepSeeK\harmony-trainer\images\1189397998_figure_large.jpg,第九章 音乐的结构,9-4 旋律线的创作,2. 旋律运动,
谱例,9.35,E:\Documents\DeepSeeK\harmony-trainer\images\1189398149_figure_largeshow.jpg,第九章 音乐的结构,9-4 旋律线的创作,2. 旋律运动,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1198137368_figure_large.jpg,第一章 循环与网格图,1-1 音的循环,音程,图1.8 大三度+小三度=纯五度
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1198137429_figure_largeshow.jpg,第四章 副调和弦,4-1 副调和弦,大调的其他副调,图4.8 C大调及其下中音调a小调
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1198157389_figure_large.jpg,第十章 基础篇总结,10-1 基础和声总结,和声的发展历史,图10.8 不同时期作品和声进行的弦图
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1198164676_figure_large.jpg,第四章 副调和弦,4-1 副调和弦,小调的副调和弦,图4.13 Stephen Mugglin总结的大小调和弦进行
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1198165137_figure_largeshow.jpg,第四章 副调和弦,4-1 副调和弦,大调的下属调,图4.7 C大调的重下属和声组
谱例,7.56,E:\Documents\DeepSeeK\harmony-trainer\images\1198214325_figure_largeshow.jpg,第七章 和弦外音,7-5 非三度和声,四度与五度和声,
谱例,7.57,E:\Documents\DeepSeeK\harmony-trainer\images\1198214449_figure_largeshow.jpg,第七章 和弦外音,7-5 非三度和声,四度与五度和声,
谱例,7.63,E:\Documents\DeepSeeK\harmony-trainer\images\1198452491_figure_large.jpg,第七章 和弦外音,7-5 非三度和声,二度和声与音簇,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1198452591_figure_largeshow.jpg,第七章 和弦外音,7-5 非三度和声,四度与五度和声,图7.15 CΔ和弦改造为四度、五度排列
谱例,7.62,E:\Documents\DeepSeeK\harmony-trainer\images\1199580259_figure_largeshow.jpg,第七章 和弦外音,7-5 非三度和声,二度和声与音簇,
谱例,9.39,E:\Documents\DeepSeeK\harmony-trainer\images\1203845708_figure_largeshow.jpg,第九章 音乐的结构,9-4 旋律线的创作,从和声出发的创作,
谱例,9.40,E:\Documents\DeepSeeK\harmony-trainer\images\1203845863_figure_largeshow.jpg,第九章 音乐的结构,9-4 旋律线的创作,从和声出发的创作,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1203845940_figure_largeshow.jpg,第九章 音乐的结构,9-4 旋律线的创作,副旋律的创作,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1203846079_figure_largeshow.jpg,第九章 音乐的结构,9-4 旋律线的创作,副旋律的创作,
谱例,7.13,E:\Documents\DeepSeeK\harmony-trainer\images\1203867567_figure_largeshow.jpg,第七章 和弦外音,7-2 经过、辅助与倚音和弦,经过和弦,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1207749601_figure_largeshow.jpg,第三章 小调和声,3-4 小调的借用和弦,小调向大调的借用,图3.24 a小调基准下借用A大调三和弦的级数
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1207750417_figure_largeshow.jpg,第三章 小调和声,3-4 小调的借用和弦,交替大小调体系,图3.29 C交替大小调的功能组
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1207763587_figure_largeshow.jpg,第三章 小调和声,3-4 小调的借用和弦,关系调与同名调的循环,图3.30 从C大调出发的一系列关系调和同名调
谱例,8.16,E:\Documents\DeepSeeK\harmony-trainer\images\1208262999_figure_largeshow.jpg,第八章 和弦变换,8-1 三和弦的变换（上）,小三度循环与巴托克轴心,
谱例,9.109,E:\Documents\DeepSeeK\harmony-trainer\images\1209685069_figure_largeshow.jpg,第九章 音乐的结构,9-7 曲式简介,三部曲式,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1209694414_figure_largeshow.jpg,第五章 变化与延伸,5-4 高叠和弦及其变音,七和弦的延伸,图5.40 C大调属七和弦的延伸
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1209694527_figure_largeshow.jpg,第五章 变化与延伸,5-4 高叠和弦及其变音,七和弦的延伸,图5.41 首调观点下G13和弦的结构
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1209694676_figure_largeshow.jpg,第五章 变化与延伸,5-4 高叠和弦及其变音,七和弦的延伸,图5.42 Dm13与CΔ13的结构
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1209694877_figure_largeshow.jpg,第五章 变化与延伸,5-5 爵士理论入门,高叠和弦的更多理解,图5.52 高叠和弦的更多理解
谱例,5.35,E:\Documents\DeepSeeK\harmony-trainer\images\1210332911_figure_largeshow.jpg,第五章 变化与延伸,5-5 爵士理论入门,高叠和弦的更多理解,
谱例,6.37,E:\Documents\DeepSeeK\harmony-trainer\images\1211856281_figure_largeshow.jpg,第六章 排列与连接,6-4 和弦转位,转位与声部连接,
谱例,7.30,E:\Documents\DeepSeeK\harmony-trainer\images\1213200653_figure_largeshow.jpg,第七章 和弦外音,7-3 趋近和弦,连续趋近,
谱例,6.20,E:\Documents\DeepSeeK\harmony-trainer\images\1215695675_figure_largeshow.jpg,第六章 排列与连接,6-3 声部连接,倾向音的处理,
谱例,6.33,E:\Documents\DeepSeeK\harmony-trainer\images\1215962922_figure_largeshow.jpg,第六章 排列与连接,6-4 和弦转位,转位与声部连接,
谱例,6.34,E:\Documents\DeepSeeK\harmony-trainer\images\1215965143_figure_largeshow.jpg,第六章 排列与连接,6-4 和弦转位,转位与声部连接,
谱例,6.31,E:\Documents\DeepSeeK\harmony-trainer\images\1215968575_figure_largeshow.jpg,第六章 排列与连接,6-4 和弦转位,转位与声部连接,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1217572457_figure_largeshow.jpg,第五章 变化与延伸,5-4 高叠和弦及其变音,高叠和弦的变化音,图5.44 c小调5级、2级上的高叠和弦
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1217572537_figure_largeshow.jpg,第六章 排列与连接,6-3 声部连接,和声进行的综合规划,图6.16 和声的纵横关系网
谱例,10.2,E:\Documents\DeepSeeK\harmony-trainer\images\1217589381_figure_largeshow.jpg,第十章 基础篇总结,10-1 基础和声总结,和弦重配,
谱例,9.105,E:\Documents\DeepSeeK\harmony-trainer\images\1221523904_figure_largeshow.jpg,第九章 音乐的结构,9-7 曲式简介,四个乐句的各种结构,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1223995151_figure_largeshow.jpg,附录,附录三 图上的音程与连接法,自测题一,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1223995298_figure_largeshow.jpg,附录,附录三 图上的音程与连接法,自测题一,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1223995335_figure_largeshow.jpg,附录,附录三 图上的音程与连接法,自测题一,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1223995536_figure_large.jpg,附录,附录三 图上的音程与连接法,自测题一,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1223995757_figure_large.jpg,附录,附录三 图上的音程与连接法,自测题一,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1223995812_figure_largeshow.jpg,附录,附录三 图上的音程与连接法,自测题一,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1223995932_figure_large.jpg,附录,附录三 图上的音程与连接法,自测题一,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1223996002_figure_largeshow.jpg,附录,附录三 图上的音程与连接法,自测题一,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1223996143_figure_largeshow.jpg,附录,附录三 图上的音程与连接法,自测题一,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1223996201_figure_largeshow.jpg,附录,附录三 图上的音程与连接法,自测题一,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1226717064_figure_largeshow.jpg,附录,附录三 图上的音程与连接法,自测题一,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1226717140_figure_largeshow.jpg,附录,附录三 图上的音程与连接法,自测题二,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1226717217_figure_largeshow.jpg,附录,附录三 图上的音程与连接法,自测题二,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1226717330_figure_largeshow.jpg,附录,附录三 图上的音程与连接法,自测题二,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1226717468_figure_largeshow.jpg,附录,附录三 图上的音程与连接法,自测题二,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1226717586_figure_largeshow.jpg,附录,附录三 图上的音程与连接法,自测题二,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1226717645_figure_largeshow.jpg,附录,附录三 图上的音程与连接法,自测题二,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1226717919_figure_largeshow.jpg,附录,附录三 图上的音程与连接法,自测题二,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1226718377_figure_largeshow.jpg,附录,附录三 图上的音程与连接法,自测题二,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1227009966_figure_largeshow.jpg,附录,附录三 图上的音程与连接法,自测题二,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1227010038_figure_largeshow.jpg,附录,附录三 图上的音程与连接法,自测题二,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1227390668_figure_largeshow.jpg,第四章 副调和弦,4-1 副调和弦,小调的副调和弦,图4.11 a小调及其大属调E大调
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1229246800_figure_largeshow.jpg,附录,附录三 图上的音程与连接法,自测题二,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1229620210_figure_large.jpg,附录,附录三 图上的音程与连接法,自测题四,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1229620343_figure_large.jpg,附录,附录三 图上的音程与连接法,自测题四,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1231747247_figure_largeshow.jpg,第六章 排列与连接,6-1 谐音列与音程,欣德米特的音序理论,图6.10 欣德米特手稿中对音程和声性（谱表上方）与旋律性（谱表下方）的图示
谱例,4.1,E:\Documents\DeepSeeK\harmony-trainer\images\1235847150_figure_largeshow.jpg,第六章 排列与连接,6-1 谐音列与音程,6-1 谐音列与音程,
谱例,7.31,E:\Documents\DeepSeeK\harmony-trainer\images\1235847260_figure_largeshow.jpg,第七章 和弦外音,7-3 趋近和弦,线性和声,
谱例,7.31,E:\Documents\DeepSeeK\harmony-trainer\images\1235847314_figure_largeshow.jpg,第九章 音乐的结构,9-5 从节拍到节奏型,爵士的律动,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1236145920_figure_largeshow.jpg,附录,附录三 图上的音程与连接法,自测题二,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1236195119_figure_largeshow.jpg,第五章 变化与延伸,5-3 增六和弦,全功能理论,图5.39 勋伯格理论中的大调领域
谱例,8.47,E:\Documents\DeepSeeK\harmony-trainer\images\1236271493_figure_largeshow.jpg,第八章 和弦变换,8-4 平移与倒影,终止式的发展,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1236271631_figure_largeshow.jpg,第八章 和弦变换,8-4 平移与倒影,终止式的发展,
谱例,8.51,E:\Documents\DeepSeeK\harmony-trainer\images\1236271792_figure_largeshow.jpg,第八章 和弦变换,8-4 平移与倒影,终止式的发展,
谱例,8.50,E:\Documents\DeepSeeK\harmony-trainer\images\1236272565_figure_largeshow.jpg,第八章 和弦变换,8-4 平移与倒影,终止式的发展,
谱例,8.55,E:\Documents\DeepSeeK\harmony-trainer\images\1236272792_figure_largeshow.jpg,第八章 和弦变换,8-4 平移与倒影,终止式的发展,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1236285158_figure_largeshow.jpg,第七章 和弦外音,7-2 经过、辅助与倚音和弦,第四种和声变化,图7.2 在进行中产生的和弦
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1236285211_figure_largeshow.jpg,第七章 和弦外音,7-1 和弦外音,和弦外音小结,图7.1 和弦外音的图示
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1236307570_figure_largeshow.jpg,第七章 和弦外音,7-3 趋近和弦,五度趋近,图7.4 C的五度趋近
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1236307943_figure_largeshow.jpg,第七章 和弦外音,7-3 趋近和弦,连续趋近,图7.9 C的二重趋近
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1236308349_figure_largeshow.jpg,第七章 和弦外音,7-3 趋近和弦,二度趋近,图7.5 C的二度趋近
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1236308410_figure_largeshow.jpg,第七章 和弦外音,7-3 趋近和弦,共同音趋近,图7.6 C的共同音趋近
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1236308562_figure_largeshow.jpg,第七章 和弦外音,7-3 趋近和弦,趋近和弦小结,图7.7 C的趋近和弦十字图
谱例,7.41,E:\Documents\DeepSeeK\harmony-trainer\images\1236308614_figure_large.jpg,第七章 和弦外音,7-4 平行与反向和声,非功能和声,图7.13 G7的功能和声（左）与非功能和声（右）
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1236308885_figure_largeshow.jpg,附录,附录一 附图,2. 音程对照表,
谱例,4.1,E:\Documents\DeepSeeK\harmony-trainer\images\1236436992_figure_largeshow.jpg,第四章 副调和弦,4-1 副调和弦,大调的属调,
谱例,8.15,E:\Documents\DeepSeeK\harmony-trainer\images\1236860728_figure_largeshow.jpg,第八章 和弦变换,8-1 三和弦的变换（上）,小三度循环与巴托克轴心,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1237758735_figure_largeshow.jpg,第三章 小调和声,3-1 小调的三种类型,和声小调及其和弦,图3.9 a和声小调的七和弦
谱例,9.104,E:\Documents\DeepSeeK\harmony-trainer\images\1238137455_figure_largeshow.jpg,第九章 音乐的结构,9-7 曲式简介,12小节布鲁斯,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1238768617_figure_largeshow.jpg,第五章 变化与延伸,5-4 高叠和弦及其变音,高叠和弦的变化音,图5.43 G13的变化音
谱例,8.8,E:\Documents\DeepSeeK\harmony-trainer\images\1241117491_figure_largeshow.jpg,第八章 和弦变换,8-1 三和弦的变换（上）,中音关系,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1242286127_figure_largeshow.jpg,第五章 变化与延伸,5-3 增六和弦,三种增六和弦,图5.26 C大调与c小调的三种增六和弦
谱例,8.37,E:\Documents\DeepSeeK\harmony-trainer\images\1242755369_figure_largeshow.jpg,第八章 和弦变换,8-4 平移与倒影,对称变换,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1242910525_figure_largeshow.jpg,第七章 和弦外音,7-3 趋近和弦,趋近和弦小结,图7.8 以C为中心时各音的功能
谱例,3.4,E:\Documents\DeepSeeK\harmony-trainer\images\1245436428_figure_large.jpg,第三章 小调和声,3-2 和声分析与小调进行,小调和声的特点,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1245802628_figure_large.jpg,第一章 循环与网格图,1-1 音的循环,音程,图1.9 小七度+大三度=大九度
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1246399558_figure_large.jpg,附录,附录三 图上的音程与连接法,自测题二,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1246979302_figure_largeshow.jpg,第三章 小调和声,3-1 小调的三种类型,和声小调及其和弦,图3.8 和声小调三和弦音级与功能组
谱例,9.62,E:\Documents\DeepSeeK\harmony-trainer\images\1252888020_figure_largeshow.jpg,第九章 音乐的结构,9-5 从节拍到节奏型,爵士的律动,
谱例,6.16,E:\Documents\DeepSeeK\harmony-trainer\images\1253501157_figure_largeshow.jpg,第六章 排列与连接,6-3 声部连接,旋律运动与声部分工,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1255376129_figure_largeshow.jpg,第六章 排列与连接,6-1 谐音列与音程,泛音与谐音列,图6.1 弦的振动模式与古琴徽位
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1255798259_figure_largeshow.jpg,第十章 基础篇总结,10-2 结语,音乐是什么,图10.9 多伦多音乐公园的现场表演
谱例,4.7,E:\Documents\DeepSeeK\harmony-trainer\images\1257715453_figure_largeshow.jpg,第四章 副调和弦,4-2 综合谱例与小结,小调曲例,
谱例,6.40,E:\Documents\DeepSeeK\harmony-trainer\images\1257720508_figure_largeshow.jpg,第六章 排列与连接,6-4 和弦转位,小调的弗里几亚进行,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1258699437_figure_large.jpg,第三章 小调和声,3-4 小调的借用和弦,混乱的小调记法,图3.33 d自然小调几种方案的连线
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1259063482_figure_largeshow.jpg,附录,附录三 图上的音程与连接法,自测题二,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1259063626_figure_largeshow.jpg,附录,附录三 图上的音程与连接法,自测题二,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1259063983_figure_largeshow.jpg,附录,附录三 图上的音程与连接法,自测题一,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1259506735_figure_largeshow.jpg,附录,附录三 图上的音程与连接法,自测题四,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1259507061_figure_largeshow.jpg,附录,附录三 图上的音程与连接法,自测题四,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1260285928_figure_largeshow.jpg,附录,附录三 图上的音程与连接法,自测题二,
谱例,7.53,E:\Documents\DeepSeeK\harmony-trainer\images\1260888507_figure_largeshow.jpg,第七章 和弦外音,7-5 非三度和声,附加音和弦,
谱例,6.38,E:\Documents\DeepSeeK\harmony-trainer\images\1260920884_figure_largeshow.jpg,第六章 排列与连接,6-4 和弦转位,转位与声部连接,
谱例,6.39,E:\Documents\DeepSeeK\harmony-trainer\images\1260920962_figure_largeshow.jpg,第六章 排列与连接,6-4 和弦转位,转位与声部连接,
谱例,8.18,E:\Documents\DeepSeeK\harmony-trainer\images\1260921142_figure_largeshow.jpg,第八章 和弦变换,8-2 三和弦的变换（下）,半音滑动,
谱例,8.22,E:\Documents\DeepSeeK\harmony-trainer\images\1260921263_figure_largeshow.jpg,第八章 和弦变换,8-3 七和弦的变换,同族七和弦,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1263598673_figure_large.jpg,第一章 循环与网格图,1-1 音的循环,更多的循环,图1.19 半音阶与五度圈循环的关系
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1264307846_figure_largeshow.jpg,附录,附录二 音与音名,音高与音名系统,图II.12 Railsback曲线
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1264918875_figure_largeshow.jpg,第七章 和弦外音,7-5 非三度和声,挂留和弦,
谱例,7.52,E:\Documents\DeepSeeK\harmony-trainer\images\1265022073_figure_largeshow.jpg,第七章 和弦外音,7-5 非三度和声,挂留和弦,
谱例,8.24,E:\Documents\DeepSeeK\harmony-trainer\images\1265409182_figure_largeshow.jpg,第八章 和弦变换,8-3 七和弦的变换,属七和弦的游移,
谱例,5.11,E:\Documents\DeepSeeK\harmony-trainer\images\1265647441_figure_largeshow.jpg,第五章 变化与延伸,5-2 拿坡里和弦,拿坡里和弦,
谱例,5.23,E:\Documents\DeepSeeK\harmony-trainer\images\1265648421_figure_largeshow.jpg,第五章 变化与延伸,5-3 增六和弦,增六和弦的实例,
谱例,5.22,E:\Documents\DeepSeeK\harmony-trainer\images\1265648506_figure_largeshow.jpg,第五章 变化与延伸,5-3 增六和弦,增六和弦的实例,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1266058506_figure_large.jpg,第九章 音乐的结构,9-7 曲式简介,奏鸣曲式,
谱例,9.42,E:\Documents\DeepSeeK\harmony-trainer\images\1266148800_figure_largeshow.jpg,第九章 音乐的结构,9-4 旋律线的创作,低音的旋律化,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1267960239_figure_large.jpg,附录,附录一 附图,11. 自然大小调的调号与音,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\1268667745_figure_largeshow.jpg,第一章 循环与网格图,1-2 三和弦的网格,三和弦的网格图,图1.27 网格图三个轴上的循环
谱例,9.92,E:\Documents\DeepSeeK\harmony-trainer\images\1268753048_figure_largeshow.jpg,第九章 音乐的结构,9-6 和弦的伴奏音型,3. 快速交替,
